x,y,u_numeric
0.808081,0.010101,-0.006282
0.818182,0.010101,-0.006135
0.828283,0.010101,-0.005971
0.838384,0.010101,-0.005791
0.848485,0.010101,-0.005594
0.858586,0.010101,-0.005379
0.868687,0.010101,-0.005144
0.878788,0.010101,-0.004890
0.888889,0.010101,-0.004616
0.898990,0.010101,-0.004321
0.909091,0.010101,-0.004003
0.919192,0.010101,-0.003662
0.929293,0.010101,-0.003298
0.939394,0.010101,-0.002909
0.949495,0.010101,-0.002494
0.959596,0.010101,-0.002053
0.969697,0.010101,-0.001584
0.979798,0.010101,-0.001086
0.989899,0.010101,-0.000558
1.000000,0.010101,0.000000
0.000000,0.020202,0.000000
0.010101,0.020202,-0.000236
0.020202,0.020202,-0.000472
0.030303,0.020202,-0.000708
0.040404,0.020202,-0.000945
0.050505,0.020202,-0.001181
0.060606,0.020202,-0.001418
0.070707,0.020202,-0.001655
0.080808,0.020202,-0.001893
0.090909,0.020202,-0.002130
0.101010,0.020202,-0.002369
0.111111,0.020202,-0.002608
0.121212,0.020202,-0.002847
0.131313,0.020202,-0.003087
0.141414,0.020202,-0.003327
0.151515,0.020202,-0.003568
0.161616,0.020202,-0.003810
0.171717,0.020202,-0.004052
0.181818,0.020202,-0.004295
0.191919,0.020202,-0.004538
0.202020,0.020202,-0.004782
0.212121,0.020202,-0.005027
0.222222,0.020202,-0.005272
0.232323,0.020202,-0.005517
0.242424,0.020202,-0.005763
0.252525,0.020202,-0.006010
0.262626,0.020202,-0.006256
0.272727,0.020202,-0.006503
0.282828,0.020202,-0.006750
0.292929,0.020202,-0.006998
0.303030,0.020202,-0.007245
0.313131,0.020202,-0.007492
0.323232,0.020202,-0.007738
0.333333,0.020202,-0.007985
0.343434,0.020202,-0.008230
0.353535,0.020202,-0.008475
0.363636,0.020202,-0.008719
0.373737,0.020202,-0.008962
0.383838,0.020202,-0.009203
0.393939,0.020202,-0.009443
0.404040,0.020202,-0.009681
0.414141,0.020202,-0.009917
0.424242,0.020202,-0.010151
0.434343,0.020202,-0.010382
0.444444,0.020202,-0.010610
0.454545,0.020202,-0.010834
0.464646,0.020202,-0.011055
0.474747,0.020202,-0.011273
0.484848,0.020202,-0.011485
0.494949,0.020202,-0.011693
0.505051,0.020202,-0.011896
0.515152,0.020202,-0.012093
0.525253,0.020202,-0.012284
0.535354,0.020202,-0.012469
0.545455,0.020202,-0.012646
0.555556,0.020202,-0.012816
0.565657,0.020202,-0.012978
0.575758,0.020202,-0.013131
0.585859,0.020202,-0.013275
0.595960,0.020202,-0.013409
0.606061,0.020202,-0.013532
0.616162,0.020202,-0.013644
0.626263,0.020202,-0.013745
0.636364,0.020202,-0.013832
0.646465,0.020202,-0.013906
0.656566,0.020202,-0.013967
0.666667,0.020202,-0.014012
0.676768,0.020202,-0.014042
0.686869,0.020202,-0.014054
0.696970,0.020202,-0.014050
0.707071,0.020202,-0.014027
0.717172,0.020202,-0.013985
0.727273,0.020202,-0.013922
0.737374,0.020202,-0.013839
0.747475,0.020202,-0.013732
0.757576,0.020202,-0.013603
0.767677,0.020202,-0.013449
